% Model:              Alpha detector sapphire_3mm_YAP_0.5mm_1fourthGeom_noResults_new.mph
% Version:            COMSOL 5.4.0.388
% Date:               Aug 25 2019, 12:30
% Dimension:          3
% Nodes:              15840
% Expressions:        1
% Description:        Surface
% X                       Y                        Z                        Color
-0.596                    -0.556                   0                        0
-0.5873397459621557       -0.5509999999999999      0                        0
-0.5960000000000001       -0.5460000000000002      0                        0
-0.5875350194574714       -0.5707742377551507      0                        0.16666666666666666
-0.5960000000000001       -0.5660000000000002      0                        0
-0.596                    -0.576                   0                        0
-0.5960000000000001       -0.47600000000000015     0                        0
-0.5873397459621557       -0.47100000000000014     0                        0
-0.596                    -0.466                   0                        0
-0.5873397459621557       -0.481                   0                        0
-0.5960000000000001       -0.496                   0                        0
-0.5873397459621557       -0.4910000000000002      0                        0
-0.5960000000000001       -0.48600000000000004     0                        0
-0.5873397459621557       -0.501                   0                        0
-0.5960000000000001       -0.506                   0                        0
-0.5786794919243113       -0.4960000000000001      0                        0
-0.5786794919243113       -0.4760000000000003      0                        0
-0.5786794919243113       -0.48600000000000004     0                        0
-0.4960000000000001       -0.5960000000000001      0                        0
-0.48600000000000015      -0.5960000000000001      0                        0
-0.4910000000000002       -0.5873397459621557      0                        0
-0.5613589838486226       -0.5259999999999998      0                        0
-0.5526987298107781       -0.5209999999999999      0                        0
-0.5613589838486224       -0.5159999999999999      0                        0
-0.5660000000000002       -0.5960000000000001      0                        0
-0.5697429655835201       -0.5873858588354736      0                        0
-0.576                    -0.596                   0                        0
-0.5726065609822659       -0.5800137247298276      0                        0
-0.5650844067334828       -0.5793084510408953      0                        0
-0.556                    -0.5960000000000001      0                        0
-0.5606622651418508       -0.5875376545030736      0                        0
-0.5702723686732134       -0.5706049798906817      0                        0
-0.5593048999154928       -0.5704242089258802      0                        0
-0.5635835235781192       -0.5632219385746716      0                        0
-0.5873397459621557       -0.5610000000000003      0                        0.3333333333333333
-0.5402798834758553       -0.5701536006075479      0                        0
-0.5447812715145676       -0.5614448248707707      0                        0
-0.5500611773517115       -0.5701661168090932      0                        0
-0.546                    -0.596                   0                        0
-0.5359999999999999       -0.596                   0                        0
-0.541                    -0.5873397459621554      0                        0
-0.5309999999999999       -0.5873397459621557      0                        0
-0.5359999999999998       -0.5786794919243111      0                        0
-0.526                    -0.5960000000000002      0                        0
-0.5060000000000001       -0.5960000000000001      0                        0
-0.5010000000000001       -0.5873397459621557      0                        0
-0.4960000000000001       -0.5786794919243113      0                        0.16666666666666666
-0.516                    -0.5960000000000001      0                        0
-0.5209999999999999       -0.5873397459621557      0                        0
-0.5110000000000001       -0.5873397459621558      0                        0
-0.516                    -0.5786794919243113      0                        0
-0.5259999999999998       -0.5786794919243113      0                        0
-0.5209999999999999       -0.570019237886467       0                        0
-0.5803481805740354       -0.5868284871350155      0                        0.14285714285714285
-0.5860000000000001       -0.5960000000000001      0                        0
-0.588658436791115        -0.5806942744630109      0                        0.16666666666666666
-0.5960000000000001       -0.5860000000000002      0                        0
-0.5960000000000001       -0.5960000000000001      0                        0
-0.5894254578291948       -0.5884066526586333      0                        0
-0.5786794919243113       -0.5059999999999999      0                        0
-0.570019237886467        -0.501                   0                        0
-0.5873397459621557       -0.5109999999999998      0                        0
-0.596                    -0.5159999999999999      0                        0
-0.5960000000000001       -0.5260000000000001      0                        0
-0.5873397459621557       -0.5210000000000001      0                        0
-0.466                    -0.596                   0                        0
-0.45600000000000007      -0.5960000000000001      0                        0
-0.461                    -0.5873397459621557      0                        0
-0.47600000000000003      -0.596                   0                        0
-0.47100000000000014      -0.5873397459621557      0                        0
-0.4810000000000002       -0.5873397459621557      0                        0
-0.4760000000000003       -0.5786794919243111      0                        0
-0.570019237886467        -0.4910000000000002      0                        0
-0.570019237886467        -0.4810000000000002      0                        0
-0.5613589838486226       -0.48600000000000004     0                        0
-0.5700192378864667       -0.4710000000000003      0                        0
-0.5613589838486226       -0.4760000000000005      0                        0
-0.5526987298107783       -0.48100000000000037     0                        0
-0.5613589838486222       -0.4660000000000001      0                        0
-0.5786794919243111       -0.4660000000000001      0                        0
-0.5700192378864667       -0.4609999999999998      0                        0
-0.5786794919243113       -0.4559999999999999      0                        0
-0.5613589838486224       -0.45599999999999974     0                        0
-0.5873397459621557       -0.4609999999999998      0                        0
-0.5960000000000001       -0.45600000000000007     0                        0
-0.5873397459621557       -0.451                   0                        0
-0.5786794919243111       -0.44599999999999995     0                        0
-0.596                    -0.44600000000000006     0                        0
-0.5873397459621557       -0.44099999999999984     0                        0
-0.5960000000000001       -0.436                   0                        0
-0.5873397459621557       -0.43100000000000005     0                        0
-0.5786794919243113       -0.4259999999999999      0                        0
-0.5873397459621557       -0.42100000000000004     0                        0
-0.5786794919243113       -0.41600000000000015     0                        0
-0.5960000000000001       -0.426                   0                        0
-0.5960000000000001       -0.416                   0                        0
-0.44600000000000006      -0.596                   0                        0
-0.4510000000000002       -0.5873397459621557      0                        0
-0.4460000000000001       -0.5786794919243111      0                        0
-0.43599999999999994      -0.5786794919243113      0                        0
-0.44099999999999984      -0.5700192378864669      0                        0
-0.4510000000000002       -0.5700192378864669      0                        0
-0.4460000000000001       -0.5613589838486224      0                        0
-0.4359999999999998       -0.5613589838486226      0                        0
-0.44099999999999984      -0.552698729810778       0                        0
-0.45100000000000035      -0.5526987298107781      0                        0
-0.5873397459621554       -0.541                   0                        0
-0.596                    -0.5359999999999999      0                        0
-0.5786794919243113       -0.5460000000000002      0                        0
-0.5873397459621557       -0.5309999999999998      0                        0
-0.5706974923725446       -0.5604881106998432      0                        0.16666666666666666
-0.5700192378864669       -0.5509999999999999      0                        0.16666666666666666
-0.5700192378864667       -0.541                   0                        0
-0.5787475674401552       -0.5555987608194992      0                        0.3333333333333333
-0.5789110819285465       -0.5655197451956541      0                        0.3333333333333333
-0.5799871730392567       -0.5757343386939543      0                        0.16666666666666666
-0.5527173673080314       -0.5310811469831025      0                        0
-0.5440646061903703       -0.5260795364583705      0                        0
-0.544845407708525        -0.5361389839285102      0                        0
-0.5534817772952858       -0.5411505065204075      0                        0
-0.5466564756305944       -0.5460451760006187      0                        0
-0.5616109320052866       -0.5458923550812487      0                        0
-0.5631695785653383       -0.5555902252894663      0                        0
-0.5548135009064507       -0.5507561945306549      0                        0
-0.5549588280709095       -0.5607030230565333      0                        0
-0.5480883641076026       -0.5542427029011711      0                        0
-0.5786794919243111       -0.5359999999999998      0                        0
-0.5700192378864669       -0.5309999999999998      0                        0
-0.5786794919243113       -0.526                   0                        0
-0.5786794919243111       -0.5159999999999999      0                        0
-0.5700192378864669       -0.5210000000000001      0                        0
-0.5613589838486222       -0.5359999999999998      0                        0
-0.5700192378864669       -0.5109999999999998      0                        0
-0.5110000000000001       -0.570019237886467       0                        0
-0.516                    -0.5613589838486227      0                        0
-0.5060000000000002       -0.5786794919243113      0                        0
-0.5010000000000001       -0.5700192378864669      0                        0
